x, y, z
-0.078668,1.161071,19.185766
0.093212,-0.011082,19.376041
-0.261350,1.196488,19.417706
0.127797,-0.189216,18.947390
1.991826,0.746449,22.582733
0.039279,1.188975,19.786287
1.976454,-2.371573,23.520063
-0.011589,-0.362842,19.241894
2.390819,0.356803,21.410482
-0.580909,-2.257048,21.624590
1.720255,-0.803446,20.376642
-0.719842,0.917122,22.248659
0.045445,0.260892,19.251541
1.080329,0.545635,22.564554
0.067544,0.547033,18.959682
0.017198,0.017288,19.489607
-0.004773,-0.256177,19.324654
1.667704,-0.800703,19.748749
1.852350,0.213053,21.780685
0.099977,-0.137590,19.217709
2.051648,-0.439400,22.695732
2.796197,-1.471229,23.414837
-0.032212,-0.260264,19.333576
1.803258,0.365774,20.386984
1.090573,0.550890,22.316036
-0.312810,2.172642,24.089977
-0.033722,-0.197883,19.366056
-0.728725,0.888170,22.341618
1.525446,0.110357,21.009909
1.550544,-2.553703,23.554707
-0.038662,-0.156060,19.498808
1.677693,0.287336,20.883936
1.514649,-0.006400,20.471270
0.012278,-0.034927,19.488012
1.814113,-0.028059,20.464886
0.061204,0.380442,19.425444
-0.029042,-0.213706,19.306446
0.129058,1.067026,20.166737
2.664378,0.520707,24.142866
0.109220,0.515356,19.397484
0.168123,0.010319,19.258411
2.000354,-0.443663,22.704449
-0.352355,2.066220,24.227564
-1.099648,-1.413364,23.495745
0.137486,-0.175681,19.255812
1.600421,-0.009457,20.888462
1.131409,-2.056491,23.454781
-0.446207,0.521642,21.114126
-1.369942,1.036274,24.075527
-0.281835,-0.330082,19.528336
-0.585041,0.983458,21.648731
-0.019313,0.575496,19.541225
-0.133568,-0.137283,19.563406
1.667404,0.598669,20.679384
1.572006,0.563086,20.575050
1.390898,0.037842,20.094442
-0.231312,2.192892,24.167040
1.342239,-1.964079,22.809362
-0.108003,0.079704,19.467228
-0.042938,0.399739,19.495459
-0.071583,0.574252,19.575897
-0.107910,-0.094170,19.538836
-0.121444,-0.096222,19.556482
0.214320,1.046720,20.722010
0.224948,1.056968,21.713100
-0.716246,0.834389,22.446020
-1.115531,-2.440660,23.843081
-0.112767,0.141939,19.388010
-0.663426,0.881123,22.177141
1.990733,0.152130,22.348316
-1.169597,-1.567168,23.631704
-0.131213,-0.113056,19.575787
-0.536413,1.316685,20.698870
-0.672162,0.900173,22.137230
2.330606,-0.622591,23.625937
2.765967,-0.627345,24.906528
-0.034734,-1.938859,23.968523
-6.145836,-8.784213,37.410271
-0.471201,1.118441,20.985701
-0.209109,1.887382,23.937090
0.903061,-0.403101,23.949474
1.511559,-3.283972,25.494408
-0.221013,-0.260389,19.496384
-0.153810,0.323393,19.520374
0.723163,0.191200,23.804611
0.673824,0.380113,23.810087
1.852163,0.254165,22.325386
0.729529,0.473713,25.181301
2.344871,-0.359140,23.645931
-1.200445,-1.579535,23.696682
-0.713606,-2.087416,22.576057
-0.248971,1.664270,23.295507
0.953595,-0.320975,23.260294
0.619731,-0.820971,24.557709
-1.207951,0.675586,24.205877
0.015300,-0.021280,19.363985
2.627060,-1.436130,24.279961
-1.024973,0.157376,24.098061
0.727481,0.179824,23.786125
-0.313412,0.340319,19.592392
-0.298017,0.339284,19.581690
-0.291553,0.339417,19.578901
-0.367788,0.038814,19.581127
-0.298254,0.339931,19.584513
-0.258641,0.448155,19.600367
-0.309935,0.712875,19.720665
-0.349219,0.728590,19.751320
-0.629187,-0.072038,20.119915
-0.652115,1.356827,21.009460
-0.580226,1.190098,21.158878
-0.654333,0.929531,22.015352
-0.133190,1.810276,23.040474
2.097322,0.458691,22.697054
1.149119,0.152409,19.260380
-0.265530,0.449288,19.606760
1.858356,-2.347821,23.797832
-0.403701,1.936375,24.034159
0.927686,-0.401958,23.890310
3.086426,0.206268,26.207779
1.001681,0.517181,22.933727
2.013773,0.435869,22.425657
1.130943,-1.390575,21.821058
1.716367,-2.280728,24.552975
0.203800,0.967338,21.654081
1.453259,-0.773466,22.300650
-0.155260,1.566773,23.245323
1.052585,0.520882,22.395273
1.745897,-0.192258,21.863014
0.721357,-0.293069,24.020319
0.358748,0.230560,20.943590
-0.145878,1.596936,22.914949
2.130855,-2.515615,24.097713
0.225513,0.723685,23.785576
1.360726,-2.055005,24.274427
0.784121,0.407416,24.084349
1.161904,-2.077941,23.358337
-1.214311,-2.207784,24.513371
-0.249301,-1.547635,24.141634
0.137574,-1.431603,24.135548
-0.529060,2.004798,24.678568
-1.017390,-0.077753,23.983313
-1.352368,-0.918981,24.411287
-1.164582,-1.254648,23.926916
-0.481590,0.584753,21.161747
-0.968788,-1.933403,23.838392
0.670522,0.025149,23.572357
1.108165,-2.125092,24.268024
0.732216,0.332133,23.570910
-1.173373,-1.272811,23.937166
-0.582820,0.566655,21.244158
0.799767,0.404587,23.347710
0.069581,-1.540026,24.090979
0.177580,-1.496817,23.713907
-0.574457,0.552204,21.283758
-0.659909,0.987397,21.886419
0.975049,0.444135,22.418991
-0.973577,0.770826,23.460861
0.700922,0.100444,23.934526
0.385969,-0.987650,24.524216
1.187705,-0.387110,23.096737
-0.604451,0.653963,21.291645
-0.602338,0.650942,21.288252
-1.127679,-1.525174,23.528233
-1.156215,-1.460310,23.634382
0.381642,-1.800314,23.942940
-0.419768,-1.961030,24.003254
-0.629452,0.630933,21.367193
2.975857,1.651390,26.009775
-0.148649,1.337608,23.150877
0.724642,-0.248815,23.489296
-0.868247,0.618063,24.676123
-1.098295,0.611267,24.259367
-0.621024,0.579597,21.291498
0.193945,0.868531,21.567314
-0.885137,0.814091,23.081181
-0.216825,1.898005,24.200638
0.149475,-1.524612,23.876465
0.059539,-1.590069,24.063654
0.290988,0.659003,23.269640
-0.789763,-1.940692,24.779871
-0.040010,-1.671699,24.085985
-0.485526,2.152547,24.548950
0.611502,-0.632891,26.033749
-0.146861,1.808834,23.676411
-0.269292,1.499347,23.652393
0.721334,0.318147,23.584080
0.712939,0.125567,23.515244
-1.666169,-0.967464,25.256033
-0.005383,-1.580673,24.188358
0.639352,0.367056,24.140734
